BEZNR;DISTRICT_POP_RATIO;POP_DENSITY;RATE_M;RATE_F;SEX_RATIO;RATE_FOR_NATIONAL;RATE_FOR_BORN;RATE_MIG_BACKGROUND;AVERAGE_AGE_M;AVERAGE_AGE_F;WORKINGAGE_RATIO;YOUTH_RATIO;AGE_RATIO;OLD_AGE_RATIO;DEPENDENCY_RATIO;YOUTH_DEP_RATIO;AGE_DEP_RATIO;OLD_AGED_DER_RATIO;REF_DATE
1;0,980566259;5944,947735;47,9310749;52,0689251;108,6329176;22,62923456;36,21498066;37,94396905;45,247371;47,37077893;62,58351893;13,44508264;23,97139843;4,090962373;59,78647687;21,48342386;38,30305301;17,06601467;20120101
2;5,540297066;5011,540861;48,74276467;51,25723533;105,1586542;28,65396983;39,70145848;43,49702288;38,21698695;41,15922935;64,781851;19,55457356;15,66357544;2,46986577;54,36422155;30,18526525;24,1789563;15,76821192;20120101
3;4,969037623;11687,21276;47,57697023;52,42302977;110,1857254;24,9485323;36,23210196;38,92692744;39,65370965;42,64717822;66,37944993;16,80854017;16,8120099;2,62311767;50,64903385;25,32190337;25,32713049;15,60264172;20120101
4;1,811823461;17761,12676;47,17693332;52,82306668;111,9679957;25,87705386;36,74427457;39,0249318;39,9837289;42,99213355;67,17947091;15,62837023;17,19215885;3,070481507;48,85499788;23,26361018;25,5913877;17,8597786;20120101
5;3,081065393;26658,87618;48,95823618;51,04176382;104,2557245;30,3855552;41,06992968;44,63822723;37,99683773;40,85097208;69,50998862;16,70366156;13,78634982;2,15440861;43,86421575;24,03059171;19,83362404;15,62711406;20120101
6;1,719238053;20588,43772;47,81881999;52,18118001;109,1226844;24,32558917;35,35350159;37,55306702;39,44432017;42,25182575;70,67357513;14,39411666;14,93230821;2,513789069;41,49560117;20,36704191;21,12855927;16,83456458;20120101
7;1,777743295;19272,8972;47,37658811;52,62341189;111,0747185;25,07354605;34,98529079;37,08660654;39,10603889;41,31428922;71,96844794;14,07558271;13,95596935;2,256489833;38,94977989;19,5579912;19,3917887;16,16863563;20120101
8;1,400160343;22351,37615;48,56134302;51,43865698;105,925112;24,83684275;34,31022452;36,27221607;38,84253233;41,94111076;70,4428847;14,41940648;15,13770882;2,368345442;41,95897914;20,46964223;21,48933691;15,64533623;20120101
9;2,31998;13605,66229;47,6441736;52,3558264;109,8892528;26,37732858;35,87990488;38,21591359;38,70680601;41,95878874;69,9019025;14,47929053;15,61880698;2,764565993;43,05762279;20,71372883;22,34389397;17,70023791;20120101
10;10,33519826;5652,490963;48,544213;51,455787;105,9977778;26,23975444;36,86844534;40,89660465;38,50085339;41,53877992;62,54101004;20,81475138;16,64423858;2,135858625;59,89508313;33,28176403;26,61331911;12,83242015;20120101
11;5,289896926;3958,073533;48,74354935;51,25645065;105,1553515;20,95496768;31,42484654;34,67434407;37,26770829;39,84170924;63,61670922;22,11418328;14,2691075;1,51339019;57,19140652;34,76159574;22,42981078;10,60606061;20120101
12;5,151852139;11062,93965;47,93235389;52,06764611;108,6273506;25,66736945;36,539384;40,17156945;38,28656209;41,76942689;63,67926107;20,10196;16,21877893;2,678402106;57,03699811;31,56751454;25,46948357;16,51420318;20120101
13;2,943595314;1358,017817;45,40307308;54,59692692;120,2494087;13,19041762;22,61074992;24,14143189;42,64902172;47,20100844;57,47867002;17,45836506;25,06296492;4,750190359;73,97758152;30,3736413;43,60394022;18,95302641;20120101
14;4,932026448;2541,776501;47,43526999;52,56473001;110,8135993;18,96804866;28,13395791;30,65324291;40,45892699;43,79401463;63,04621408;18,070801;18,88298492;2,944603696;58,61380649;28,66278532;29,95102116;15,59395248;20120101
15;4,218584323;18706,42202;49,51092584;50,48907416;101,9756212;35,74873304;46,46749496;50,95771348;37,42407066;40,03626454;68,09710642;18,66792;13,23497357;1,889542804;46,84911775;27,41367583;19,43544192;14,27689141;20120101
