FID,OBJECTID,SHAPE,BEZEICHNUNG,ADRESSE,FZG_ANZAHL,KATEGORIE,WEITERE_INF,SE_ANNO_CAD_DATA
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d0f,4185,POINT (16.262093709843676 48.197592170304965),W14-H¸tteldorf Bahnhof U4,Keisslergasse,1,Economy,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d10,4186,POINT (16.30309149554721 48.18749419278008),W13-Kennedybr¸cke,Hietzinger Hauptstraﬂe 4,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d11,4187,POINT (16.282057604423972 48.19146118669655),W13-BUWOG Kundenzentrum U4,Hietzinger Kai 131,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d12,4188,POINT (16.343860290302658 48.183277187465514),W12-Steinbauergasse,Steinbauergasse 11,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d13,4189,POINT (16.32764736890014 48.18304919878056),W12-Schˆnbrunner Straﬂe U4 Meidling,Schˆnbrunnerstraﬂe 269,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d14,4190,POINT (16.320042409477896 48.184889194423874),W12-Schˆnbrunner Schloﬂstraﬂe,Schˆnbrunner Schloﬂstraﬂe 46,1,Combi,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d15,4191,POINT (16.331402339997698 48.175342232789724),W12-Meidling Bahnhof,Wilhelmstraﬂe 64,2,"City, Combi",http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d16,4192,POINT (16.42080689518716 48.16960320482608),W11-Simmeringer Platz,Simmeringer Platz 1,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d17,4193,POINT (16.374331139787355 48.18204217442568),W10-Columbuscenter,Columbusplatz 7-8,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d18,4194,POINT (16.342708340946167 48.21531103517733),W09-Zimmermanngasse,Zimmermanngasse 1,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d19,4195,POINT (16.3511783077572 48.22177799978671),W09-Wilhelm-Exner-Gasse,Wilhelm-Exner Gasse 8,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d1a,4196,POINT (16.3610552489779 48.21420702949973),W09-Votivpark U2,Sigmund Freud Park,5,"Combi, Comfort, City, Economy, Minivan",http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d1b,4197,POINT (16.35436229677574 48.224967981988556),W09-Sechsschimmelgasse,Sechsschimmelgasse 1,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d1c,4198,POINT (16.35623629282489 48.22806296600867),W09-Reznicekgasse,Reznicekgasse 2,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d1d,4199,POINT (16.364591238161484 48.21889400435359),W09-Berggasse,Berggasse 26,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d1e,4200,POINT (16.36183725948032 48.22411798172846),W09-Glasergasse,Glasergasse 1/Porzellangasse,3,"Combi, Economy, City",http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d1f,4201,POINT (16.36276826068281 48.22844396020323),W09-Friedensbr¸cke,Gussenbauergasse gg¸. 5-7,2,"City, Minivan",http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d20,4202,POINT (16.354155280686697 48.212174043001205),W08-Florianigasse,Florianigasse 5,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d21,4203,POINT (16.340421345967982 48.21110005740938),W08-Blindengasse,Blindengasse 33,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d22,4204,POINT (16.354840272307516 48.20888805866494),W08-Auersbergstraﬂe,Auersbergstraﬂe gg¸. 17,2,"City, Transport",http://www.carsharing.at,
