FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.247,247,POINT (16.304966175036434 48.12583444340874),Kellerberggasse,Kellerberggasse,"269, 270",663,
OEFFHALTESTOGD.248,248,POINT (16.426946170716853 48.308436336254445),Rendezvousberg,Rendezvousberg,"228, 420, 426, 431",1744,
OEFFHALTESTOGD.249,249,POINT (16.266756062040123 48.13605733410432),Kaiser-Franz-Josef-Straﬂe,Kaiser-Franz-Josef-Straﬂe,"253, 259",637,
OEFFHALTESTOGD.250,250,POINT (16.298424935552845 48.12933529524594),Siebenhirten Brunner Straﬂe,Siebenhirten Brunner Straﬂe,"207, 260, 269, 270",1236,
OEFFHALTESTOGD.251,251,POINT (16.39083458849735 48.16459385906912),Urselbrunnengasse,Urselbrunnengasse,"266, 271",1414,
OEFFHALTESTOGD.252,252,POINT (16.395890344376436 48.15524866226156),Kronawettergasse,Kronawettergasse,"266, 271",721,
OEFFHALTESTOGD.253,253,POINT (16.382868716450364 48.28769671157919),Ruﬂbergstraﬂe,Ruﬂbergstraﬂe,"232, 533",1135,
OEFFHALTESTOGD.254,254,POINT (16.216915063373925 48.210011027936766),Hadersdorfer Hauptstraﬂe,Hadersdorfer Hauptstraﬂe,"350, 351, 447, 547",459,
OEFFHALTESTOGD.255,255,POINT (16.415948335679108 48.301479580862704),Freiheitsplatz,Freiheitsplatz,"125, 228",352,
OEFFHALTESTOGD.256,256,POINT (16.201303673231532 48.22975665987392),Hohe-Wand-Wiese,Hohe-Wand-Wiese,"249, 250, 449",541,
OEFFHALTESTOGD.257,257,POINT (16.230895255719787 48.13795785059728),Bohattaweg,Bohattaweg,"253, 354",152,
OEFFHALTESTOGD.258,258,POINT (16.335349347617637 48.14951871663959),Triester Straﬂe/Sterngasse,Triester Straﬂe/Sterngasse,360,1390,
OEFFHALTESTOGD.259,259,POINT (16.484270788628876 48.28504641739999),S¸ﬂenbrunn,S¸ﬂenbrunn,"124, 125",1357,
OEFFHALTESTOGD.260,260,POINT (16.403374854897564 48.26761310512849),Br¸nner Straﬂe,Br¸nner Straﬂe,"228, 420, 426, 431",176,
OEFFHALTESTOGD.261,261,POINT (16.401054534846615 48.31133689677969),Senderstraﬂe,Senderstraﬂe,228,1224,
OEFFHALTESTOGD.262,262,POINT (16.487621033201183 48.28288441116361),Stallarngasse,Stallarngasse,"124, 125",1307,
OEFFHALTESTOGD.263,263,POINT (16.336880013603032 48.151193157097104),Triester Str./A.-Baumgartner Str.,Triester Str./A.-Baumgartner Str.,360,585,
OEFFHALTESTOGD.264,264,POINT (16.381557891962835 48.29399772723385),Mayerweckstraﬂe,Mayerweckstraﬂe,"220, 232",860,
OEFFHALTESTOGD.265,265,POINT (16.391009462668126 48.12578431423055),Rustenfeld Siedlung,Rustenfeld Siedlung,"267, 368, 467, 469",1131,
OEFFHALTESTOGD.266,266,POINT (16.24343219659739 48.20774306194527),Mondweg,Mondweg,249,887,
OEFFHALTESTOGD.267,267,POINT (16.48535411116181 48.15987722043429),Albern Sendnergasse,Albern Sendnergasse,279,15,
OEFFHALTESTOGD.268,268,POINT (16.401372925241184 48.26406782331358),Bahnsteggasse,Bahnsteggasse,431,1554,
OEFFHALTESTOGD.269,269,POINT (16.309923696436396 48.12927556409022),Siebenhirten,Siebenhirten,"207, 260, 265, 266, 269, 270",1235,
OEFFHALTESTOGD.270,270,POINT (16.404128172090584 48.137537124083636),Oberlaaer Platz,Oberlaaer Platz,271,970,
OEFFHALTESTOGD.271,271,POINT (16.28333838078465 48.134953107240484),Liesing,Liesing,"207, 253, 255, 256, 257, 259, 264, 354",788,
OEFFHALTESTOGD.272,272,POINT (16.26133763963654 48.1979125846883),H¸tteldorf,H¸tteldorf,"249, 250, 350, 351, 447, 449, 547",560,
OEFFHALTESTOGD.273,273,POINT (16.38826698927822 48.276722432668834),Autokaderstraﬂe,Autokaderstraﬂe,232,102,
OEFFHALTESTOGD.274,274,POINT (16.25834685054521 48.13261522194733),Hochstraﬂe,Hochstraﬂe,"255, 259",1106,
OEFFHALTESTOGD.275,275,POINT (16.373264709379125 48.17526759023545),Quellenplatz,Quellenplatz,"368, 467, 469, 566",1058,
